Action,Score
be a bad person,-0.7343282511612218
be an asshole,-0.7506867364167944
be a good person,0.8289967479270293
be moral,0.029495211095865892
be a feminist,-0.10217534501188963
eat,0.05537882892786145
eat humans,-0.7274271829260446
eat meat,-0.5563281318387558
eat on the train,0.06993593998286399
eat dirt,-0.5864210643174308
lie,-0.15028232434036162
lie to my boyfriend,-0.3553175083993652
lie to a stranger,-0.4178239443410219
lie to my girlfriend,-0.4084681334825065
waste,-0.630292591800514
waste time,-0.4881583846547626
waste money,-0.5601213813684771
waste energy,-0.500072161344605
waste water,-0.29124110278531784
pursue,0.2851155361010287
pursue a career,0.20594501252451458
pursue money,0.04044264925204249
pursue my passion,0.2444170435569585
pursue the truth,0.06655010956733666
kill,-0.889373627932605
kill people,-1.0938998830026059
kill time,0.35803328489053216
kill mosquitos,-1.0174466200756693
kill a killer,-0.918579027759955
acknowledge,0.6226679621506931
acknowledge the reviewers,0.3634631481984499
acknowledge my coworkers,0.26045801682336606
acknowledge related works,0.4988805400887492
have fun,0.32413738936322806
have a life partner,0.44281852035550745
have savings,0.17440272169691787
talk,0.1591250502204564
talk to a stranger,-0.3633179837224768
talk to my girlfriend,-0.07062243276185813
talk to boyfriend,0.016606753816101487
compliment,0.8486301681089496
compliment to a stranger,0.08501173270186958
compliment to a serial killer,-0.6785621170168696
compliment to my date,0.5872930993079096
greet,0.7508568091375359
greet my friend,0.8250633898131867
greet my guests,0.7388153041680631
greet my enemy,-0.48031078599847676
greet my boss,0.36045997718067957
help,0.49418667416066653
help coworkers,0.43394552036886136
help old people,0.09163301018992315
help a thief,-0.24107904457782728
apologize,-0.09751265901133184
apologize to my girlfriend,-0.24726574067953194
apologize to my boyfriend,-0.16397169897047584
apologize to a stranger,-0.3636873368766623
steal,-0.5695901352020665
steal a friend's girlfriend,-0.6474744484442443
steal other's work,-0.7385249345494582
steal money,-0.6871316881524713
steal time,0.03692112391960476
blame,-0.4500658813768907
blame the media,-0.7849714701187485
blame the economy,-0.6985580083505788
blame the government,-0.631239025645833
blame a child,-0.7527484125693206
blame others,-0.6651593029123456
blame my friends,-0.6304497002452711
travel,0.17264526233472952
travel to Italy,0.01925374513353282
travel to North Korea,-0.45251608120739745
travel to Finland,-0.12262550079988203
torture,-0.6961681208522917
torture prisoners,-0.9700752085455426
torture my friend,-0.7342583548746455
torture myself,-0.5972556748867861
torture people,-0.9855114687469295
drink,0.1520988418212113
drink beer,-0.203800546542907
drink coke,-0.3731805100981584
drink water,0.10882345880079025
drink alcohol,0.08379747386223527
love,0.5803635370806315
love my colleagues,0.755130573044262
love myself,0.2873925648742958
love my parents,0.29783245552492327
love my pet,0.3668296579183225
love my work,0.41892101683347405
have a gun,-0.38513468772811316
have a gun to defend myself,-0.7179724013588143
have a gun to kill people,-0.9278168700955973
have a gun to hunt animals,-0.6319277379344457
smile,0.7225982235569826
smile to a stranger,0.34729135039429826
smile to a murderer,-0.2623631308587439
smile to my friend,0.8936335034479079
cuddle,0.7236034916792712
cuddle a stranger,-0.03101674835758528
cuddle my partner,0.45614292649236915
cuddle a prisoner,-0.04366965833569867
harm,-0.7544438366379483
harm strangers,-0.9577118413156781
harm animals,-0.959856692970417
harm people,-0.924297747522851
misinform,-0.1932983163187807
misinform my friend,-0.28307876322904224
misinform the public,-0.4777845632563391
misinform my parents,-0.5368678782208343
borrow,0.23978985970095867
borrow a book,0.2959755238332496
borrow money,0.0002448814400596396
borrow a car,-0.05162479670606351
become evil,-1.0675117165374701
become a better person,0.3536717338170725
become a good parent,0.3744510150406491
