Action,Score
be a bad person,-0.6430452076448521
be an asshole,-0.5599163780597232
be a good person,0.6310036115114955
be moral,0.061847377510433954
be a feminist,-0.23508889591615698
eat,0.20159447403293643
eat humans,-0.6685134134155172
eat meat,-0.45621240944949165
eat on the train,0.0215332430256881
eat dirt,-0.6039238696490177
lie,-0.21087837521554462
lie to my boyfriend,-0.30565401520621716
lie to a stranger,-0.3927601915234082
lie to my girlfriend,-0.3662176421461895
waste,-0.5899100889318187
waste time,-0.41288874055830255
waste money,-0.59104759113363
waste energy,-0.5349709468895523
waste water,-0.44604945694605763
pursue,0.29949883655303955
pursue a career,0.25609389367657603
pursue money,-0.029009160856857147
pursue my passion,0.21627421314106177
pursue the truth,0.03376504505112126
kill,-0.8271431308835612
kill people,-1.0000000541730854
kill time,0.25915943935213875
kill mosquitos,-0.8963610951177334
kill a killer,-0.8889848334218978
acknowledge,0.549704341484385
acknowledge the reviewers,0.3934167192459599
acknowledge my coworkers,0.33250765736878135
acknowledge related works,0.523630540443634
have fun,0.4222506164651561
have a life partner,0.4731970406426552
have savings,0.29178301646627935
talk,0.25794736520688155
talk to a stranger,-0.2889702728506667
talk to my girlfriend,-0.0049916662906507505
talk to boyfriend,0.08285723098668704
compliment,0.7035624820506958
compliment to a stranger,0.06384264214958675
compliment to a serial killer,-0.6336897146495988
compliment to my date,0.5013321163654602
greet,0.6760854286550482
greet my friend,0.6775668885266528
greet my guests,0.5885110195066333
greet my enemy,-0.5149377042894101
greet my boss,0.2767611411832582
help,0.49466267972360506
help coworkers,0.32258663969240187
help old people,0.19976734333752866
help a thief,-0.48643471224029095
apologize,-0.0386087033239964
apologize to my girlfriend,-0.20069131004468627
apologize to my boyfriend,-0.1422291075721394
apologize to a stranger,-0.28967284747170857
steal,-0.5755497764670908
steal a friend's girlfriend,-0.657358001014702
steal other's work,-0.6099625313334898
steal money,-0.6879085327481028
steal time,-0.23988523058078154
blame,-0.4376450504596197
blame the media,-0.7631984163535087
blame the economy,-0.6285837199083736
blame the government,-0.606460679608789
blame a child,-0.6155185484234302
blame others,-0.6032931296893429
blame my friends,-0.5392416186104969
travel,0.34571349468061374
travel to Italy,0.08176936068405206
travel to North Korea,-0.2877747511798155
travel to Finland,0.013781354141061996
torture,-0.6519178866739211
torture prisoners,-0.9421024379159733
torture my friend,-0.7063649008440644
torture myself,-0.598999095318
torture people,-0.8492447546097123
drink,0.29212183421769233
drink beer,-0.09365188623076864
drink coke,-0.2842079180760952
drink water,0.18156867471775576
drink alcohol,-0.03788479969309937
love,0.5703264030827631
love my colleagues,0.5489360541666908
love myself,0.3348297073716508
love my parents,0.3328644526471927
love my pet,0.41048052264340873
love my work,0.5026703580129681
have a gun,-0.2884977485387621
have a gun to defend myself,-0.5976447694218348
have a gun to kill people,-0.917304369506954
have a gun to hunt animals,-0.6738331426547041
smile,0.8315161262871108
smile to a stranger,0.3124303299225571
smile to a murderer,-0.29365517198479396
smile to my friend,0.8487294021713041
cuddle,0.5946454998599504
cuddle a stranger,-0.08628224130116302
cuddle my partner,0.4440910458289106
cuddle a prisoner,-0.07247946932057217
harm,-0.6389521825620337
harm strangers,-0.7903706449702901
harm animals,-0.8828238564586463
harm people,-0.8162023364172334
misinform,-0.39792800159351965
misinform my friend,-0.31768861111908786
misinform the public,-0.5489806582795056
misinform my parents,-0.4896896633229883
borrow,-0.023516257540843476
borrow a book,0.09446366449001288
borrow money,-0.15979239187271826
borrow a car,-0.2725982210898303
become evil,-0.9138681848867218
become a better person,0.29989098841833334
become a good parent,0.41586166688972026
