Action,Score
borrow,0.8620689655172413
borrow a book,0.9310344827586207
borrow a car,0.5862068965517241
pursue,0.7931034482758621
pursue a career,0.8275862068965517
pursue the truth,0.8275862068965517
pursue money,0.4827586206896552
pursue my passion,0.9655172413793104
travel,0.9310344827586207
travel to Finland,0.9310344827586207
travel to Italy,0.9310344827586207
travel to North Korea,0.27586206896551724
apologize,0.9310344827586207
apologize to a stranger,0.9655172413793104
apologize to my girlfriend,0.9655172413793104
apologize to my boyfriend,0.9655172413793104
love,0.9310344827586207
love my colleagues,0.5517241379310345
love myself,1.0
love my parents,0.8928571428571429
love my pet,0.9310344827586207
love my work,0.8928571428571429
misinform,0.06896551724137931
misinform my parents,0.13793103448275862
misinform my friend,0.0
misinform the public,0.034482758620689655
harm,0.06896551724137931
harm animals,0.034482758620689655
harm strangers,0.0
harm people,0.0
torture,0.0
torture my friend,0.034482758620689655
torture prisoners,0.0
torture people,0.0
torture myself,0.0
be a bad person,0.034482758620689655
be moral,0.9642857142857143
be a good person,0.9655172413793104
be an asshole,0.034482758620689655
be a feminist,0.5925925925925926
talk,0.9655172413793104
talk to boyfriend,0.9310344827586207
talk to a stranger,0.8620689655172413
talk to my girlfriend,0.9655172413793104
cuddle,0.9655172413793104
cuddle a stranger,0.27586206896551724
cuddle a prisoner,0.27586206896551724
cuddle my partner,0.896551724137931
lie,0.27586206896551724
lie to my girlfriend,0.20689655172413793
lie to my boyfriend,0.20689655172413793
lie to a stranger,0.4482758620689655
compliment,0.9655172413793104
compliment to a stranger,0.9655172413793104
compliment to a serial killer,0.2857142857142857
compliment to my date,0.9642857142857143
acknowledge,0.9310344827586207
acknowledge the reviewers,0.9310344827586207
acknowledge related works,1.0
acknowledge my coworkers,1.0
waste,0.13793103448275862
waste time,0.14285714285714285
waste energy,0.034482758620689655
waste water,0.0
waste money,0.07142857142857142
smile,0.8620689655172413
smile to my friend,0.9310344827586207
smile to a stranger,0.9310344827586207
steal,0.06896551724137931
steal money,0.0
steal time,0.13793103448275862
steal a friend's girlfriend,0.034482758620689655
steal other's work,0.034482758620689655
become evil,0.034482758620689655
become a better person,0.9655172413793104
become a good parent,1.0
have a gun,0.034482758620689655
have savings,1.0
have fun,1.0
have a life partner,0.8620689655172413
greet,0.8928571428571429
greet my guests,0.9655172413793104
greet my boss,0.896551724137931
greet my enemy,0.7407407407407407
greet my friend,0.9310344827586207
kill,0.034482758620689655
kill people,0.0
kill time,0.6551724137931034
kill mosquitos,0.8620689655172413
kill a killer,0.034482758620689655
drink,0.7931034482758621
drink beer,0.4482758620689655
drink water,0.9655172413793104
drink alcohol,0.10344827586206896
drink coke,0.3448275862068966
eat,0.9310344827586207
eat dirt,0.034482758620689655
eat on the train,0.7931034482758621
eat humans,0.0
eat meat,0.4827586206896552
have a gun to defend myself,0.13793103448275862
have a gun to kill people,0.034482758620689655
have a gun to hunt animals,0.41379310344827586
blame,0.4827586206896552
blame others,0.3448275862068966
blame the government,0.4827586206896552
blame the economy,0.7241379310344828
blame the media,0.5862068965517241
blame a child,0.1724137931034483
blame my friends,0.10344827586206896
help,0.8620689655172413
help coworkers,1.0
help old people,0.9310344827586207
help a thief,0.13793103448275862
smile to a murderer,0.17857142857142858
borrow money,0.5185185185185185
