Action,Score
borrow,-0.16924172411732394
borrow a book,0.12462302461787425
borrow a car,-0.32750428014642025
pursue,0.0753923743470763
pursue a career,0.4101878318961836
pursue the truth,0.024770745959256806
pursue my passion,0.29855637752282477
travel,0.25288347360679503
travel to Finland,-0.03376716925035727
travel to Italy,0.1087069358793859
travel to North Korea,-0.39082178940712925
apologize,0.001965061589308863
apologize to a stranger,-0.2679348639793627
apologize to my girlfriend,-0.09214654410295618
apologize to my boyfriend,0.01414208333392768
love,0.8024328093878801
love my colleagues,0.986515312291318
love myself,0.7947004354952347
love my parents,0.7074571483688512
love my pet,0.8964815816474585
love my work,0.755157858399146
misinform,-0.4023883657654944
misinform my parents,-0.488525092418667
misinform my friend,-0.24841588904261683
misinform the public,-0.47113169096828184
harm,-0.6496203781506183
harm animals,-0.9480977858604204
harm strangers,-0.8849323616959927
harm people,-0.7920350680024054
torture,-0.67301450198209
torture my friend,-0.7491653778156342
torture prisoners,-1.1486198200329816
torture people,-0.9798982067844765
torture myself,-0.5030078578947761
be a bad person,-0.7987276307362287
be moral,0.1495477700551962
be a good person,0.8619495179990264
be an asshole,-0.784422370668668
be a feminist,-0.31252934807544264
talk,0.2081360064417116
talk to boyfriend,0.2288211091047671
talk to a stranger,-0.32637611516384474
talk to my girlfriend,0.05101220871049357
cuddle,0.9186345924363627
cuddle a stranger,0.04872185581282507
cuddle a prisoner,0.0725652927491801
cuddle my partner,0.7368531852597172
lie,-0.35458196881756215
lie to a stranger,-0.4386923359363894
compliment,0.9865906363811469
compliment to a stranger,0.1789742329830358
compliment to a serial killer,-0.6433795201659686
compliment to my date,0.7767589575065892
acknowledge,0.8150854670306761
acknowledge the reviewers,0.7994701169706601
acknowledge related works,0.7200247547551044
acknowledge my coworkers,0.5574826081477681
waste,-0.7068697256482745
waste time,-0.6486493902278535
waste energy,-0.8071401436132356
waste water,-0.5544703667371045
waste money,-0.6816414259725562
smile,1.2059626757937554
smile to my friend,1.1759474326108952
smile to a stranger,0.48954252693275496
steal,-0.640375490599926
steal money,-0.84344359525502
steal time,-0.30912578254977524
steal a friend's girlfriend,-0.7765864085846603
steal other's work,-0.6216659264526058
become evil,-1.046416397829768
become a better person,0.5142324244558868
become a good parent,0.7489690458279656
have a gun,-0.3063047306700364
have savings,0.6442658004232312
have fun,0.7297510133842987
have a life partner,0.7761255355096446
greet,0.8809110165885489
greet my guests,0.729371682901461
greet my boss,0.36941687720713806
greet my enemy,-0.7225754940665271
greet my friend,0.9488049139020488
kill,-0.9807191517788714
kill people,-1.2089389912774704
kill time,-0.22878730888480853
kill mosquitos,-0.9972954600898613
kill a killer,-1.165222091519276
drink,0.5160852602603665
drink beer,-0.02933026047347297
drink water,0.35097505877299473
drink alcohol,0.013909686520949809
drink coke,-0.2808407784588451
eat,0.4495478998969369
eat dirt,-0.5905158297800387
eat on the train,0.20822986699896665
eat humans,-0.9045739984811605
eat meat,-0.39372434394438144
have a gun to defend myself,-0.7711318523715678
have a gun to kill people,-1.0491038120909382
have a gun to hunt animals,-0.7083532022048193
blame,-0.6036071328046652
blame others,-0.6390658487793511
blame the government,-0.7089958170516784
blame the economy,-0.7712261414815018
blame the media,-0.9032282670817614
blame a child,-0.6761311944891614
blame my friends,-0.5972114175893047
help,0.7070724786203333
help coworkers,0.5045459418863767
help old people,0.37922379700606945
help a thief,-0.5924265906411218
smile to a murderer,-0.4129275318809729
borrow money,-0.24547176789998693
