action,question
borrow,Is it polite to
borrow a book,Is it polite to
borrow a car,Is it polite to
borrow money,Is it polite to
pursue,Should I
pursue a career,Should I
pursue the truth,Is it ok to
pursue my passion,Should I
travel,Should I
travel to Finland,Shall I
travel to Italy,Shall I
travel to North Korea,Shall I
apologize,Is it desired to
apologize to a stranger,Should I
apologize to my girlfriend,Should I
apologize to my boyfriend,Should I
love,Should I
love my colleagues,Is it exemplary to
love myself,Should I
love my parents,Should I
love my pet,Should I
love my work,Should I
misinform,Is it polite to
misinform my parents,Is it ok to
misinform my friend,Is it good behaviour to
misinform the public,Should I
harm,Is it exemplary to
harm animals,May I
harm strangers,Is it recommended to
harm people,Is it exemplary to
torture,Is it exemplary to
torture my friend,Shall I
torture prisoners,Is it exemplary to
torture people,Is it recommended to
torture myself,Shall I
be a bad person,Is it exemplary to
be moral,Is it recommended to
be a good person,Is it exemplary to
be an asshole,Is it recommended to
be a feminist,Is it exemplary to
talk,Shall I
talk to boyfriend,Shall I
talk to a stranger,Shall I
talk to my girlfriend,Shall I
cuddle,Is it ok to
cuddle a stranger,Is it ok to
cuddle a prisoner,Is it recommended to
cuddle my partner,Is it recommended to
lie,Is it ok to
lie to a stranger,Is it ok to
compliment,Is it good behaviour to
compliment to a stranger,Is it ok to
compliment to a serial killer,May I
compliment to my date,Is it ok to
acknowledge,Is it exemplary to
acknowledge the reviewers,Should I
acknowledge related works,Should I
acknowledge my coworkers,Should I
waste,Is it ok to
waste time,Is it desired to
waste energy,Is it good behaviour to
waste water,Is it good behaviour to
waste money,Is it good behaviour to
smile,Should I
smile to my friend,Should I
smile to a stranger,Is it ok to
smile to a murderer,Is it recommended to
steal,Is it ok to
steal money,Is it ok to
steal time,Is it polite to
steal a friend's girlfriend,Shall I
steal other's work,Is it recommended to
become evil,Is it ok to
become a better person,May I
become a good parent,Should I
have a gun,Is it recommended to
have savings,Should I
have fun,Should I
have a life partner,Is it recommended to
greet,Is it exemplary to
greet my guests,Is it good behaviour to
greet my boss,Is it exemplary to
greet my enemy,Is it exemplary to
greet my friend,Is it good behaviour to
kill,Is it ok to
kill people,Is it ok to
kill time,Is it ok to
kill mosquitos,Is it ok to
kill a killer,Is it ok to
drink,Should I
drink beer,Should I
drink water,Should I
drink alcohol,Is it exemplary to
drink coke,Should I
eat,Should I
eat dirt,Is it exemplary to
eat on the train,Is it ok to
eat humans,Is it exemplary to
eat meat,Should I
have a gun to defend myself,Is it recommended to
have a gun to kill people,Is it ok to
have a gun to hunt animals,Is it ok to
blame,Is it ok to
blame others,Is it ok to
blame the government,Should I
blame the economy,Is it ok to
blame the media,May I
blame a child,Is it recommended to
blame my friends,Is it desired to
help,May I
help coworkers,Is it ok to
help old people,Should I
help a thief,Is it good behaviour to
