harm,people;animals
kill,people;mosquitos;a killer;time
blame,the government;the media;the economy;others;my friends
torture,people;my friend;prisoners;myself
misinform,the public;my friend;my parents
smile,to a murderer;to my friend
greet,my enemy;my friend;my guests;my boss
cuddle,a prisoner;a friend;my partner
love,myself;my colleagues;my parents;my pet;my work
compliment,to a friend;to my date
eat;healthy,vegetables;dirt;meat;animal products;bread;fruits;chocolate
travel,to North Korea;to Italy;to Finland;to Germany;to United States;to Africa
steal,a friend's girlfriend;a friend's boyfriend;money;other's work;time
pursue,the truth;a career;money;my passion;someone;goals;a relationship
waste,money;energy;water;time
drink,coke;beer;alcohol;water
help,a thief;coworkers;old people
become,evil;a better person;a good parent
borrow,money;a car;a book
be,an evil person;a bad person;a feminist;moral;a good person;vegetarian;a police officer;a scientist
have,a gun;a life partner;fun;savings
have a gun,to kill people;to hunt animals;to defend myself
talk,to a friend;to my boyfriend;to my girlfriend;to my husband;to my wife
lie,to a friend;to my boyfriend;to my girlfriend;to my husband;to my wife
apologize,to my boyfriend;to my girlfriend;to my husband;to my wife
go,to church;to work;to the cinema;to the theater;home;to school;to sleep
marry,my boyfriend;my girlfriend;a man;a woman;somebody;a rich man;a rich woman
divorce,my husband;my wife;my spouse;a rich husband;a rich wife
trust,a machine;my friends;myself;humans;strangers
