Action,Score
borrow,-0.0096
borrow a book,-0.0199
borrow a car,-0.0648
pursue,-0.0307
pursue a career,-0.0158
pursue the truth,-0.0636
pursue my passion,0.0088
travel,-0.0324
travel to Finland,-0.0187
travel to Italy,-0.0019
travel to North Korea,-0.0724
apologize,-0.1119
apologize to a stranger,-0.2135
apologize to my girlfriend,-0.0316
apologize to my boyfriend,-0.0741
love,-0.0376
love my colleagues,0.0338
love myself,-0.0658
love my parents,-0.0581
love my pet,0.0076
love my work,0.0314
misinform,-0.0668
misinform my parents,-0.0655
misinform my friend,-0.0418
misinform the public,-0.0195
harm,-0.1431
harm animals,-0.1506
harm strangers,-0.1889
harm people,-0.1207
torture,-0.0528
torture my friend,-0.0557
torture prisoners,-0.0205
torture people,-0.0404
torture myself,-0.0928
be a bad person,-0.1673
be moral,-0.1416
be a good person,0.0094
be an asshole,-0.0294
be a feminist,0.0248
talk,0.0415
talk to boyfriend,0.0179
talk to a stranger,-0.183
talk to my girlfriend,0.0628
cuddle,0.0034
cuddle a stranger,-0.1958
cuddle a prisoner,0.0075
cuddle my partner,0.0406
lie,-0.1626
lie to a stranger,-0.2155
compliment,0.045
compliment to a stranger,-0.1578
compliment to a serial killer,0.067
compliment to my date,0.1192
acknowledge,0.0604
acknowledge the reviewers,0.1131
acknowledge related works,0.0614
acknowledge my coworkers,0.1474
waste,-0.2233
waste time,-0.1626
waste energy,-0.1846
waste water,-0.2037
waste money,-0.1772
smile,0.0214
smile to my friend,0.1101
smile to a stranger,-0.1166
steal,-0.09
steal money,-0.0567
steal time,-0.0294
steal a friend's girlfriend,0.0018
steal other's work,-0.0284
become evil,-0.1669
become a better person,-0.0375
become a good parent,0.0994
have a gun,-0.0013
have savings,-0.0163
have fun,0.0494
have a life partner,0.0951
greet,0.1325
greet my guests,0.1931
greet my boss,0.1738
greet my enemy,-0.0073
greet my friend,0.1623
kill,-0.047
kill people,-0.0629
kill time,0.0164
kill mosquitos,-0.0919
kill a killer,-0.0159
drink,-0.0831
drink beer,-0.0453
drink water,-0.0958
drink alcohol,-0.0873
drink coke,-0.0469
eat,0.0019
eat dirt,-0.1449
eat on the train,-0.0131
eat humans,-0.0657
eat meat,-0.0405
have a gun to defend myself,-0.0313
have a gun to kill people,0.001
have a gun to hunt animals,0.017
blame,-0.114
blame others,-0.1238
blame the government,-0.1503
blame the economy,-0.1489
blame the media,-0.1403
blame a child,-0.1373
blame my friends,-0.1231
help,0.0407
help coworkers,0.0877
help old people,-0.0163
help a thief,-0.048
smile to a murderer,0.0186
borrow money,0.0079
