Action,Score
be a bad person,0.1623931623931624
be an asshole,0.14102564102564102
be a good person,0.9743589743589743
be moral,0.9401709401709402
be a feminist,0.5982905982905983
eat,0.9700854700854701
eat humans,0.16666666666666666
eat meat,0.8888888888888888
eat on the train,0.7606837606837606
eat dirt,0.16666666666666666
lie,0.24786324786324787
lie to my boyfriend,0.2094017094017094
lie to a stranger,0.3717948717948718
lie to my girlfriend,0.19230769230769232
waste,0.1623931623931624
waste time,0.20512820512820512
waste money,0.1452991452991453
waste energy,0.1794871794871795
waste water,0.14102564102564102
pursue,0.905982905982906
pursue a career,0.9017094017094017
pursue money,0.7777777777777778
pursue my passion,0.9145299145299145
pursue the truth,0.9529914529914529
kill,0.13675213675213677
kill people,0.11965811965811966
kill time,0.5555555555555556
kill mosquitos,0.8333333333333334
kill a killer,0.3504273504273504
acknowledge,0.9230769230769231
acknowledge the reviewers,0.9401709401709402
acknowledge my coworkers,0.9273504273504274
acknowledge related works,0.9358974358974359
have fun,0.9401709401709402
have a life partner,0.905982905982906
have savings,0.9572649572649573
talk,0.9658119658119658
talk to a stranger,0.7222222222222222
talk to my girlfriend,0.9444444444444444
talk to boyfriend,0.9145299145299145
compliment,0.9444444444444444
compliment to a stranger,0.8846153846153846
compliment to a serial killer,0.20512820512820512
compliment to my date,0.9658119658119658
greet,0.8974358974358975
greet my friend,0.9529914529914529
greet my guests,0.9529914529914529
greet my enemy,0.6923076923076923
greet my boss,0.9273504273504274
help,0.9444444444444444
help coworkers,0.9358974358974359
help old people,0.9700854700854701
help a thief,0.18376068376068377
apologize,0.8931623931623932
apologize to my girlfriend,0.9145299145299145
apologize to my boyfriend,0.8717948717948718
apologize to a stranger,0.8846153846153846
steal,0.16666666666666666
steal a friend's girlfriend,0.19658119658119658
steal other's work,0.1752136752136752
steal money,0.1752136752136752
steal time,0.21367521367521367
blame,0.32051282051282054
blame the media,0.6025641025641025
blame the economy,0.5769230769230769
blame the government,0.5
blame a child,0.13675213675213677
blame others,0.26495726495726496
blame my friends,0.16666666666666666
travel,0.9487179487179487
travel to Italy,0.9230769230769231
travel to North Korea,0.44017094017094016
travel to Finland,0.8760683760683761
torture,0.15384615384615385
torture prisoners,0.1752136752136752
torture my friend,0.1752136752136752
torture myself,0.1452991452991453
torture people,0.13247863247863248
drink,0.7564102564102564
drink beer,0.6282051282051282
drink coke,0.7478632478632479
drink water,0.9658119658119658
drink alcohol,0.32905982905982906
love,0.9401709401709402
love my colleagues,0.8547008547008547
love myself,0.9786324786324786
love my parents,0.9700854700854701
love my pet,0.9786324786324786
love my work,0.9487179487179487
have a gun,0.3034188034188034
have a gun to defend myself,0.5085470085470085
have a gun to kill people,0.13247863247863248
have a gun to hunt animals,0.3247863247863248
smile,0.9658119658119658
smile to a stranger,0.8717948717948718
smile to a murderer,0.20512820512820512
smile to my friend,0.9829059829059829
cuddle,0.8760683760683761
cuddle a stranger,0.46153846153846156
cuddle my partner,0.8846153846153846
cuddle a prisoner,0.2863247863247863
harm,0.17094017094017094
harm strangers,0.1794871794871795
harm animals,0.1623931623931624
harm people,0.18803418803418803
misinform,0.1752136752136752
misinform my friend,0.18376068376068377
misinform the public,0.18803418803418803
misinform my parents,0.1452991452991453
borrow,0.6025641025641025
borrow a book,0.8076923076923077
borrow money,0.5085470085470085
borrow a car,0.5769230769230769
become evil,0.14957264957264957
become a better person,0.9658119658119658
become a good parent,0.9786324786324786
